response,context,context_2,context_3,context_4,context_5,context_6,context_7
I just had mine go to a default page. I'm sure we'll get more chanced to create more pages in the next part of the project.,"Yes, he want you to add an image and then use the image as a hyper link to navigate to a different web page.","Yes, you are choosing the image you want, then making it into a hyperlink to lead the person to another website of your choosing.","If you need any further help with this, the video lecture walks through this process very clearly. Best of luck!","Yes, he wants us to make the image as a hyperlink. Basically, when you click on the image, it takes you to the link of your choice. ","I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",
"Yes, he want you to add an image and then use the image as a hyper link to navigate to a different web page.","Yes, you are choosing the image you want, then making it into a hyperlink to lead the person to another website of your choosing.","If you need any further help with this, the video lecture walks through this process very clearly. Best of luck!","Yes, he wants us to make the image as a hyperlink. Basically, when you click on the image, it takes you to the link of your choice. ","I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",,
"Yes, you are choosing the image you want, then making it into a hyperlink to lead the person to another website of your choosing.","If you need any further help with this, the video lecture walks through this process very clearly. Best of luck!","Yes, he wants us to make the image as a hyperlink. Basically, when you click on the image, it takes you to the link of your choice. ","I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",,,
"If you need any further help with this, the video lecture walks through this process very clearly. Best of luck!","Yes, he wants us to make the image as a hyperlink. Basically, when you click on the image, it takes you to the link of your choice. ","I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",,,,
"Yes, he wants us to make the image as a hyperlink. Basically, when you click on the image, it takes you to the link of your choice. ","I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",,,,,
"I believe he wants us to add a hyperlink onto the image that will take the user to another website (similar to how the first header link in the bit.html file will take you to www.bit.vt.edu
Links to an external site.
). For mine, I added a hyperlink to my image that takes the user to a website to purchase tickets for the team. Hope this helps!","For "" Create an image element using a picture of your choice (save the picture file in the same folder as your HTML files). Specify an external hyperlink (i.e., a link to a different web page) on the image element. (15 pts)"" does he want us to make the image a hyper link?",,,,,,
Make sure you put <p>text</p>. This makes whatever you are typing into a paragraph and should fix the formatting of the text.,"I had the same issue, the sentence just in one long line. Then I figure I can use <br> to cut the sentence to two lines, that worked for me. ","I had that issue as well and it was fixed by making sure each table data had <p> </p> around it, which adds a blank line before and after.","I would make sure that the description is a paragraph element. But, for the most part, I believe it is all dependent on the size of the page. Based off the following comment in the assignment, only the content of description really matters.","For the third web page (the bit.html page), the directions say the page should look identical to the screenshot. All of my text and design is exactly the same, but when I open the page, the alignment of the text in the table differs from the screenshot on the assignment. My ""Description"" column does not cut to a second line in the same place as the screenshot for the two rows. Is that something I can set directly or is it just a matter of screen size of the device viewing the page and it does not need to match exactly?",,,
"I had the same issue, the sentence just in one long line. Then I figure I can use <br> to cut the sentence to two lines, that worked for me. ","I had that issue as well and it was fixed by making sure each table data had <p> </p> around it, which adds a blank line before and after.","I would make sure that the description is a paragraph element. But, for the most part, I believe it is all dependent on the size of the page. Based off the following comment in the assignment, only the content of description really matters.","For the third web page (the bit.html page), the directions say the page should look identical to the screenshot. All of my text and design is exactly the same, but when I open the page, the alignment of the text in the table differs from the screenshot on the assignment. My ""Description"" column does not cut to a second line in the same place as the screenshot for the two rows. Is that something I can set directly or is it just a matter of screen size of the device viewing the page and it does not need to match exactly?",,,,
"I had that issue as well and it was fixed by making sure each table data had <p> </p> around it, which adds a blank line before and after.","I would make sure that the description is a paragraph element. But, for the most part, I believe it is all dependent on the size of the page. Based off the following comment in the assignment, only the content of description really matters.","For the third web page (the bit.html page), the directions say the page should look identical to the screenshot. All of my text and design is exactly the same, but when I open the page, the alignment of the text in the table differs from the screenshot on the assignment. My ""Description"" column does not cut to a second line in the same place as the screenshot for the two rows. Is that something I can set directly or is it just a matter of screen size of the device viewing the page and it does not need to match exactly?",,,,,
"I would make sure that the description is a paragraph element. But, for the most part, I believe it is all dependent on the size of the page. Based off the following comment in the assignment, only the content of description really matters.","For the third web page (the bit.html page), the directions say the page should look identical to the screenshot. All of my text and design is exactly the same, but when I open the page, the alignment of the text in the table differs from the screenshot on the assignment. My ""Description"" column does not cut to a second line in the same place as the screenshot for the two rows. Is that something I can set directly or is it just a matter of screen size of the device viewing the page and it does not need to match exactly?",,,,,,
"I had this issue as well and I just copy pasted the <img src=""Hokie bird.jpg""> line of code to add a bunch of pictures and make the page longer. After testing to make sure they worked I just deleted these lines of code.","I had this same issue, it was a bit of an inconvenience but I just minimized my window to test them.",You can use a bunch of <br> elements to add new lines for increased page length.,"I just zoomed in like 300% into the page, and I was able to test those links.","I find myself constantly wondering if my internal page links (the ones the jump to a h2 or h3 part of the page) work. Every time I open the page I have to shrink the window down so that I can click the links. Currently, the page is not cut off at all so when I click the link it won't jump anywhere because I cans see the whole page. Obviously if the pages were longer and I could scroll around then jumping to a heading would work when I check it.",,,
"I had this same issue, it was a bit of an inconvenience but I just minimized my window to test them.",You can use a bunch of <br> elements to add new lines for increased page length.,"I just zoomed in like 300% into the page, and I was able to test those links.","I find myself constantly wondering if my internal page links (the ones the jump to a h2 or h3 part of the page) work. Every time I open the page I have to shrink the window down so that I can click the links. Currently, the page is not cut off at all so when I click the link it won't jump anywhere because I cans see the whole page. Obviously if the pages were longer and I could scroll around then jumping to a heading would work when I check it.",,,,
You can use a bunch of <br> elements to add new lines for increased page length.,"I just zoomed in like 300% into the page, and I was able to test those links.","I find myself constantly wondering if my internal page links (the ones the jump to a h2 or h3 part of the page) work. Every time I open the page I have to shrink the window down so that I can click the links. Currently, the page is not cut off at all so when I click the link it won't jump anywhere because I cans see the whole page. Obviously if the pages were longer and I could scroll around then jumping to a heading would work when I check it.",,,,,
"I just zoomed in like 300% into the page, and I was able to test those links.","I find myself constantly wondering if my internal page links (the ones the jump to a h2 or h3 part of the page) work. Every time I open the page I have to shrink the window down so that I can click the links. Currently, the page is not cut off at all so when I click the link it won't jump anywhere because I cans see the whole page. Obviously if the pages were longer and I could scroll around then jumping to a heading would work when I check it.",,,,,,
"Thank you for sharing this, very useful!",Thanks for sharing this would have helped so much with the tables.,"Needed that what a good shortcut, thanks",I would have never known this thank you!,"Thank you. This would've helped me a lot, but I will be sure to use it in the future!",This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.
Thanks for sharing this would have helped so much with the tables.,"Needed that what a good shortcut, thanks",I would have never known this thank you!,"Thank you. This would've helped me a lot, but I will be sure to use it in the future!",This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,
"Needed that what a good shortcut, thanks",I would have never known this thank you!,"Thank you. This would've helped me a lot, but I will be sure to use it in the future!",This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,,
I would have never known this thank you!,"Thank you. This would've helped me a lot, but I will be sure to use it in the future!",This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,,,
"Thank you. This would've helped me a lot, but I will be sure to use it in the future!",This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,,,,
This is good to know for future assignments! Thanks!,Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,,,,,
Thank you for sharing this. Very helpful tip!,You can use the shortcut 'element'*# to create multiple elements at a single time. This can help ease repetitive tasks.,,,,,,
"BIG help Justin, that definitely is something that I'll be using for future reference when we start writing more lines on all our code. Thanks for the tip!","Thanks for the shortcut for commenting Daniel, it makes things so much quicker and easier! ","Thank you Justin! Ctrl + K + S is very helpful for keyboard shortcuts. In case anyone was wondering the comment shortcut is Command + K + C, for windows would probably be Ctrl + K + C. ",To comment on your code if you ever walk away from it and want to remember your train of thought. You can use <!-- -->and it will not include what ever is in between which is nice. Also another helpful hint on commands: hitting ctrl + k + s brings up all the keyboard shortcuts and you can even edit them if you want to customize. Hope that's some helpful news!,,,,
"Thanks for the shortcut for commenting Daniel, it makes things so much quicker and easier! ","Thank you Justin! Ctrl + K + S is very helpful for keyboard shortcuts. In case anyone was wondering the comment shortcut is Command + K + C, for windows would probably be Ctrl + K + C. ",To comment on your code if you ever walk away from it and want to remember your train of thought. You can use <!-- -->and it will not include what ever is in between which is nice. Also another helpful hint on commands: hitting ctrl + k + s brings up all the keyboard shortcuts and you can even edit them if you want to customize. Hope that's some helpful news!,,,,,
"Thank you Justin! Ctrl + K + S is very helpful for keyboard shortcuts. In case anyone was wondering the comment shortcut is Command + K + C, for windows would probably be Ctrl + K + C. ",To comment on your code if you ever walk away from it and want to remember your train of thought. You can use <!-- -->and it will not include what ever is in between which is nice. Also another helpful hint on commands: hitting ctrl + k + s brings up all the keyboard shortcuts and you can even edit them if you want to customize. Hope that's some helpful news!,,,,,,
Thanks for sharing this! I had trouble with this and didn't know why. Appreciate it!,"Thank you for sharing, this is very helpful. I had the same issue. ","For images, it's good to make sure the image is in the same folder as the homework itself so that it populates properly when you open the website. I had some of my images downloaded into my BIT4444 folder and not the HW1 specific folder, so none of the images were loading. On the other hand, it was a good time to see the alternate description working to describe the image and make sure the website is accessible. ",,,,,
"Thank you for sharing, this is very helpful. I had the same issue. ","For images, it's good to make sure the image is in the same folder as the homework itself so that it populates properly when you open the website. I had some of my images downloaded into my BIT4444 folder and not the HW1 specific folder, so none of the images were loading. On the other hand, it was a good time to see the alternate description working to describe the image and make sure the website is accessible. ",,,,,,
"Make sure you have access to the pictures aswell, when I had them downloaded I couldn't see some of them due to copyright stuff so it wouldn't show them.","Yes, they can.","I know that the hyperlink image is supposed to be a local file, but can the photos in the ""Players"" table be a link to an image on the web?",,,,,
"Yes, they can.","I know that the hyperlink image is supposed to be a local file, but can the photos in the ""Players"" table be a link to an image on the web?",,,,,,
"Because we are using VS code editor. Besides, you can check the code output by double click the code file, just like you open a web page, as long as you save the code.","Please ignore the shortcuts for the Atom code editor that I mentioned in the video lecture. We have transitioned to a new code editor, VS Code. The Atom shortcusts won't work. Please find the shortcuts keys for VS Code in another message I posted here.",I am not being able to see the output of my code by doing ctrl+shift+G. Does anyone have this issue or know how to fix it?,,,,,
"Please ignore the shortcuts for the Atom code editor that I mentioned in the video lecture. We have transitioned to a new code editor, VS Code. The Atom shortcusts won't work. Please find the shortcuts keys for VS Code in another message I posted here.",I am not being able to see the output of my code by doing ctrl+shift+G. Does anyone have this issue or know how to fix it?,,,,,,
"We went through the instruction in class last Thursday. Yes, they are two separate html pages placed in the same file folder. Question 3 and the extra credit question each requires to have a separate file. Compress the folder to a zip file, which is submitted to Canvas.","l just put these two pages into one floder, l do not know if separate these two files, if the hyperlink will still work. ","When creating a ""home"" page and ""players"" page, are these two separate files, or is there a way to add page two on the home page?",,,,,
"l just put these two pages into one floder, l do not know if separate these two files, if the hyperlink will still work. ","When creating a ""home"" page and ""players"" page, are these two separate files, or is there a way to add page two on the home page?",,,,,,
"I tried to hyperlink the emails, but also had trouble getting it to directly take me to the email address. Thank you, this was very useful!",I must have missed that part of the lecture video thanks!,"Where you would normally type your hyperlink it would instead be ""mailto:(email here)"" for an email. There is a specific example in the video lecture when the professor is working on Ex2.","When l create the last page, l found there are hyperlinks on the email information, l do not know what hyperlink will be used on that. l just create hyperlinks that directly connect their email. Is that OK?",,,,
I must have missed that part of the lecture video thanks!,"Where you would normally type your hyperlink it would instead be ""mailto:(email here)"" for an email. There is a specific example in the video lecture when the professor is working on Ex2.","When l create the last page, l found there are hyperlinks on the email information, l do not know what hyperlink will be used on that. l just create hyperlinks that directly connect their email. Is that OK?",,,,,
"Where you would normally type your hyperlink it would instead be ""mailto:(email here)"" for an email. There is a specific example in the video lecture when the professor is working on Ex2.","When l create the last page, l found there are hyperlinks on the email information, l do not know what hyperlink will be used on that. l just create hyperlinks that directly connect their email. Is that OK?",,,,,,
"I believe Mac would be CMD + F5. For PCs with inverse FN controls, the shortcut may be just CTRL + F5.",Thanks for that shortcut Andrew. Really helped me out in previewing my code.,A shortcut for running the project on windows is CRTL + FN + F5. Not sure what it might be on Mac.,,,,,
Thanks for that shortcut Andrew. Really helped me out in previewing my code.,A shortcut for running the project on windows is CRTL + FN + F5. Not sure what it might be on Mac.,,,,,,
"After you submit the assignment, the submission details page will have a ""add a comment"" textbox and a save button underneath that you can use to submit the extra credit.","Okay I will do that then, thank you!",I just submitted mine. I zipped in a PDF of my extra credit within the HW zip.,"Where would we submit the comments for the extra credit portion of the assignment? Normally I know that there is a box to add a comment after submitting your file, but I do not see that option.",,,,
"Okay I will do that then, thank you!",I just submitted mine. I zipped in a PDF of my extra credit within the HW zip.,"Where would we submit the comments for the extra credit portion of the assignment? Normally I know that there is a box to add a comment after submitting your file, but I do not see that option.",,,,,
I just submitted mine. I zipped in a PDF of my extra credit within the HW zip.,"Where would we submit the comments for the extra credit portion of the assignment? Normally I know that there is a box to add a comment after submitting your file, but I do not see that option.",,,,,,
"This helped so much when writing part 1 and will probably be relevant in the future, thanks!",Thank you! This is very insightful and will make sure to use it next time!,"If you like to break the line of a long text, you can enter <br> after any word in the text code and your text will continue on the next line on the actual page.",,,,,
Thank you! This is very insightful and will make sure to use it next time!,"If you like to break the line of a long text, you can enter <br> after any word in the text code and your text will continue on the next line on the actual page.",,,,,,
"Finally had the preview work for me after downloading the HTML preview extension, thank you for this!","After installing the extension, COMMAND+Shift+V is a shortcut to the preview ",Hey! Make sure you download the HTML preview extension within the Visual studio application. Then there should be a small icon on the upper righthand corner that says open preview to the side.,Does anyone know how to access a live preview for the HTML code on Visual Studio for Mac instead of having to access the local file every time I want to view it?,,,,
"After installing the extension, COMMAND+Shift+V is a shortcut to the preview ",Hey! Make sure you download the HTML preview extension within the Visual studio application. Then there should be a small icon on the upper righthand corner that says open preview to the side.,Does anyone know how to access a live preview for the HTML code on Visual Studio for Mac instead of having to access the local file every time I want to view it?,,,,,
Hey! Make sure you download the HTML preview extension within the Visual studio application. Then there should be a small icon on the upper righthand corner that says open preview to the side.,Does anyone know how to access a live preview for the HTML code on Visual Studio for Mac instead of having to access the local file every time I want to view it?,,,,,,
"No. I don't believe we need to add it for the ""Player"" or ""BIT"" pages. I think that the professor wants to see whether we understand the meta elements and only included it for the first page.","Do you have to include four meta elements (charset, author, keywords, descriptions) in the head element for every page you make? It was in the directions for number 1 but not in the others. ",,,,,,
"Yes thats what you need to, the content within the description is what you want to put in.","Hey what I interpreted out of that was exactly what you said. For example, my homework follows the VT Football players and I just put their position in the second column. Hope that helped!","Just wanted to check for the player's page in the directions, it says: ""display in each row a player's name, description, and picture,"" for the first bullet point. I'm assuming ""description"" means we can input whatever characteristic we want such as height or position of the players? ",,,,,
"Hey what I interpreted out of that was exactly what you said. For example, my homework follows the VT Football players and I just put their position in the second column. Hope that helped!","Just wanted to check for the player's page in the directions, it says: ""display in each row a player's name, description, and picture,"" for the first bullet point. I'm assuming ""description"" means we can input whatever characteristic we want such as height or position of the players? ",,,,,,
"Hi Jess, ",I utilized the same code for mine and it worked. Maybe your code is in between an element it should not be? My code is between a table data element.Sometimes saving everything and closing the studio and re-opening it can help!,"For the bit section of HW1, I'm trying to create the email link for the dss and osm contact on the table, but nothing happens when I try to click on it. The code I'm currently using is:",,,,,
I utilized the same code for mine and it worked. Maybe your code is in between an element it should not be? My code is between a table data element.Sometimes saving everything and closing the studio and re-opening it can help!,"For the bit section of HW1, I'm trying to create the email link for the dss and osm contact on the table, but nothing happens when I try to click on it. The code I'm currently using is:",,,,,,
"Thank you so much for the tip, now I don't have to worry about adding more text just to test the internal hyperlinks.",That's a helpful tip. I was just adding ridiculous amounts of text to make the page long enough to test.,"When you are testing your code by opening up the webpage, you can check if your hyperlinks are taking you to different parts of the page by zooming in a lot to the webpage.",,,,,
That's a helpful tip. I was just adding ridiculous amounts of text to make the page long enough to test.,"When you are testing your code by opening up the webpage, you can check if your hyperlinks are taking you to different parts of the page by zooming in a lot to the webpage.",,,,,,
"When I looked your question up I found there is a way to do it in CSS which I assume we will go over later in the class, however to avoid image stretching look at the resolution of your image and scale the image to the same ratio.","Is anyone aware of a method to size the image that you input by a specific factor. For example, if you input an image without changing its dimensions it may take up a lot of the page, therefore, you will have to adjust height and width. Instead, is there a way to adjust them both by an equal factor to avoid the images looking stretched?",,,,,,
Is the same preview extension he showed in Atom also available for VS Code? Did you just search it up in the extension download tab?,Thanks ,"If anyone installed the HTML Preview extension that the professor showed in the lecture video, the shortcut to open the preview is Control + K + V. The preview doesn't show everything, but it is a good reference to use to make sure the basics are working correctly as you're working before you open the page in a full web browser.",,,,,
Thanks ,"If anyone installed the HTML Preview extension that the professor showed in the lecture video, the shortcut to open the preview is Control + K + V. The preview doesn't show everything, but it is a good reference to use to make sure the basics are working correctly as you're working before you open the page in a full web browser.",,,,,,
Yes you need to put it in the footer,the command is &copy; then add attributes based on year and copyright labeling,How do we write the copyright statement and get the sign?  Also should we put it in the footer?,,,,,
the command is &copy; then add attributes based on year and copyright labeling,How do we write the copyright statement and get the sign?  Also should we put it in the footer?,,,,,,
"For Mac, option+shift+f and for Windows, alt+shift+f is one way to help fix indentations!",How do you fix the overall indentation to make the code look better?,,,,,,
"The line of code should be the same for the internal hyperlinks, the only thing that should change is the ID of the hyperlink which you set at the place you want to link to.",I made an identical line of code for the 2 internal hyperlinks.  The only difference I had was the name of the h2 item.,For the first part (Home page) For the navigation part --> Unordered list (h2 items) Is the line of code for the internal hyperlinks the same? or is it meant to differentiate based on title/text,,,,,
I made an identical line of code for the 2 internal hyperlinks.  The only difference I had was the name of the h2 item.,For the first part (Home page) For the navigation part --> Unordered list (h2 items) Is the line of code for the internal hyperlinks the same? or is it meant to differentiate based on title/text,,,,,,
"Hey Jake,",If you use Ctrl + Tab you can navigate between tabs. I hope this helps!,Does anyone know of a way to switch between tabs inside of Visual Studio Code?,,,,,
If you use Ctrl + Tab you can navigate between tabs. I hope this helps!,Does anyone know of a way to switch between tabs inside of Visual Studio Code?,,,,,,
"On the left hand side of Visual Studio code editor, there should be an icon in the banner that says ""extensions"". Also, a shortcut is CTRL +SHIFT+X. Type HTML preview into the search bar and install. ",How do I find an html preview extension in visual studio?,,,,,,
I just copied my homework 1 files over to the new folder,*file path wasn't working,I had to create a new folder because the file path when I put it in my homework 2 folder for some reason. I created a new file within the new folder where I copied my code from the first homework and pasted it in there incase something got messed up.,I think they are separate files,"Yes, you can copy HW1 files to the HW2 folder so that you can keep a record of the originally submitted HW1.","Haylie, I went ahead and duplicated all the files from HW1 because I didn't want to worry about making changes that I couldn't undo later. However I believe that as long as it functions properly, it should be fine!",I believe you don't have to include the files from HW1. Just have to create a hyperlink that sends it back to the first page we made in HW1. (Each HW should be in separate folders),Do we include the files from HW1 to HW2? Do we start a new folder or just continue build on that one folder？ 
*file path wasn't working,I had to create a new folder because the file path when I put it in my homework 2 folder for some reason. I created a new file within the new folder where I copied my code from the first homework and pasted it in there incase something got messed up.,I think they are separate files,"Yes, you can copy HW1 files to the HW2 folder so that you can keep a record of the originally submitted HW1.","Haylie, I went ahead and duplicated all the files from HW1 because I didn't want to worry about making changes that I couldn't undo later. However I believe that as long as it functions properly, it should be fine!",I believe you don't have to include the files from HW1. Just have to create a hyperlink that sends it back to the first page we made in HW1. (Each HW should be in separate folders),Do we include the files from HW1 to HW2? Do we start a new folder or just continue build on that one folder？ ,
I had to create a new folder because the file path when I put it in my homework 2 folder for some reason. I created a new file within the new folder where I copied my code from the first homework and pasted it in there incase something got messed up.,I think they are separate files,"Yes, you can copy HW1 files to the HW2 folder so that you can keep a record of the originally submitted HW1.","Haylie, I went ahead and duplicated all the files from HW1 because I didn't want to worry about making changes that I couldn't undo later. However I believe that as long as it functions properly, it should be fine!",I believe you don't have to include the files from HW1. Just have to create a hyperlink that sends it back to the first page we made in HW1. (Each HW should be in separate folders),Do we include the files from HW1 to HW2? Do we start a new folder or just continue build on that one folder？ ,,
I think they are separate files,"Yes, you can copy HW1 files to the HW2 folder so that you can keep a record of the originally submitted HW1.","Haylie, I went ahead and duplicated all the files from HW1 because I didn't want to worry about making changes that I couldn't undo later. However I believe that as long as it functions properly, it should be fine!",I believe you don't have to include the files from HW1. Just have to create a hyperlink that sends it back to the first page we made in HW1. (Each HW should be in separate folders),Do we include the files from HW1 to HW2? Do we start a new folder or just continue build on that one folder？ ,,,
"Yes, you can copy HW1 files to the HW2 folder so that you can keep a record of the originally submitted HW1.","Haylie, I went ahead and duplicated all the files from HW1 because I didn't want to worry about making changes that I couldn't undo later. However I believe that as long as it functions properly, it should be fine!",I believe you don't have to include the files from HW1. Just have to create a hyperlink that sends it back to the first page we made in HW1. (Each HW should be in separate folders),Do we include the files from HW1 to HW2? Do we start a new folder or just continue build on that one folder？ ,,,,
